tensor(0.0069, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.6401e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.6755e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.4949e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0008, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.3219e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.5940e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.8358e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(8.7851e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.0987e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0016, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.4537e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.9109e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(8.9154e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.4641e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(7.0164e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.0531e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.7958e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.4479e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.7623e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.0027e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0005, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.6909e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.5448e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.7295e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0011, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.5431e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(8.6848e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(1.9595e-06, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.5471e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.3957e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.7436e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.5084e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.0701e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.7394e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.3266e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.0916e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.5449e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.1286e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0016, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(8.6869e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.4477e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.0741e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.5615e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.0495e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.5066e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.5611e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(1.7821e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.5500e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.5474e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0004, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.0284e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.5599e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.2845e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.8865e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.6088e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(5.4489e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.9281e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.8870e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.5594e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(5.7706e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.3724e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.8830e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.0810e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.7670e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(7.0165e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.2839e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.4766e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(1.7855e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.1152e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.5541e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(1.7678e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0005, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(8.1829e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.4192e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.5669e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.9254e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0008, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.4212e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.8763e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.4978e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.9470e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.8458e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.9821e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.5407e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.0898e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.0855e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0004, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.0291e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.1949e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.2441e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0004, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.9107e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.5732e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(5.7639e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(8.0888e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.5188e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(7.0310e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.2740e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.2905e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.3763e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0005, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0008, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(8.6625e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(8.3401e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(7.0201e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.1018e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.5423e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.1866e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.4937e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.4304e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(5.7784e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.3562e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(7.6048e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.0509e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.5143e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.8840e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.6907e-06, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.9150e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.5029e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.2136e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.4796e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.8713e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.1045e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.9299e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.3764e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.7326e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.7426e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.9843e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.0322e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.0188e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.0464e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0004, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.4481e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.9136e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(1.7652e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.0865e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.3276e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.1028e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(1.7728e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.6399e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.7419e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(8.0760e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(7.1030e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.6360e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.3576e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.2600e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(8.0874e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.0873e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.4906e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.5379e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.1758e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.6873e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.0164e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.0817e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(5.2428e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.4781e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.6882e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.3799e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.0809e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.0811e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.9254e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.8996e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.5469e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0011, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.8488e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.7425e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0004, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(7.0184e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.8713e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(8.1786e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.4839e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.7487e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.0177e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.3283e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.8807e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(7.0342e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.0222e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(5.8216e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.4925e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.0415e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.2922e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.4259e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.9875e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(7.4481e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.1218e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.3452e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0004, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.8712e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0008, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0005, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.8818e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.8819e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.2170e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.4392e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(2.9838e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.3068e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0005, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.1014e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.8705e-05, device='cuda:0', grad_fn=<MseLossBackward>)
